ID,Revision,Text,Location,Section,Context,Actor,Voice Actor,Old Revision,Old Text,Old Translation,New Translation,Gender,Status,Warnings,Non-critical warnings,Lua Revision: 208412 Assets Revision: 41177
1000491,207343,Game Progress,CommonLua/AccountStorage.lua(00092),,,,,0,,,,,new,,
1000006,194283,Default,CommonLua/Core/EngineOptions.lua(00012),,options refresh rate,,,,Default,Default,,,OK,,
1000007,194283,Borderless,CommonLua/Core/EngineOptions.lua(00362),,Options dialog resolution setting,,,,Borderless,Borderless,,,OK,,
1000008,194283,Fullscreen,CommonLua/Core/EngineOptions.lua(00367),,Options dialog resolution setting,,,,Fullscreen,Fullscreen,,,OK,,
1000009,194283,Windowed,CommonLua/Core/EngineOptions.lua(00372),,Options dialog resolution setting,,,,Windowed,Windowed,,,OK,,
1000012,194283,Easy,CommonLua/Core/EngineOptions.lua(00529),,,,,,Easy,Easy,,,OK,,
1000013,194283,Medium,CommonLua/Core/EngineOptions.lua(00530),,,,,,Medium,Medium,,,OK,,
1000014,194283,Hard,CommonLua/Core/EngineOptions.lua(00531),,,,,,Hard,Hard,,,OK,,
1000015,194283,Insane,CommonLua/Core/EngineOptions.lua(00532),,,,,,Insane,Insane,,,OK,,
1000016,194283,Window Mode,CommonLua/Core/EngineOptions.lua(00543),,,,,,Window Mode,Window Mode,,,OK,,
1000017,194283,Choose a window mode for the game,CommonLua/Core/EngineOptions.lua(00543),,options dialog tooltip,,,,Choose a window mode for the game,Choose a window mode for the game,,,OK,,
1000018,194283,Display Resolution,CommonLua/Core/EngineOptions.lua(00546),,,,,,Display Resolution,Display Resolution,,,OK,,
1000019,194283,Choose a display resolution for the game,CommonLua/Core/EngineOptions.lua(00546),,options dialog tooltip,,,,Choose a display resolution for the game,Choose a display resolution for the game,,,OK,,
1000020,194283,Screen Refresh Rate,CommonLua/Core/EngineOptions.lua(00549),,,,,,Screen Refresh Rate,Screen Refresh Rate,,,OK,,
